SCHOOL_YEAR,AVG_COMPOSITE,DISTRICT,COHORT,GRAD_RATE
2015-16,2.304499180521115,La Crosse,2020,0.9093851132686084
2016-17,2.242068803094251,La Crosse,2021,0.8757975329646959
2017-18,2.2377127210235175,La Crosse,2022,0.9149659863945578
2018-19,2.2963037561178314,La Crosse,2023,0.9118773946360154
2020-21,2.2125649043091364,La Crosse,2025,0.9652917505030181
2015-16,2.627840909090909,Galesville-Ettrick-Trempealeau,2020,0.9445910290237467
2016-17,2.2765399737876804,Galesville-Ettrick-Trempealeau,2021,0.9449081803005008
2017-18,2.5214285714285714,Galesville-Ettrick-Trempealeau,2022,0.9473684210526315
2018-19,2.4975490196078427,Galesville-Ettrick-Trempealeau,2023,0.9682875264270613
2020-21,2.6958191126279862,Galesville-Ettrick-Trempealeau,2025,0.9922928709055877
2015-16,2.1882691660857625,Madison Metropolitan,2020,0.8824549989156365
2016-17,2.2203036299171965,Madison Metropolitan,2021,0.8887605406029803
2017-18,2.2462605143829295,Madison Metropolitan,2022,0.9007667518613179
2018-19,2.192111395177881,Madison Metropolitan,2023,0.8788177339901477
2020-21,2.0520954894279764,Madison Metropolitan,2025,0.882040125694948
